tier,track,company,website,segment,company_fit_score,company_confidence_score,company_reachability_score,company_personalization_richness_score,company_pilot_likelihood_score,workflow_insertion_point,likely_team_buyer,why_now,contact_sequence,full_name,role,persona_type,source_quality,source_url,personalization_source,why_this_person,likely_angle,public_contact_path,contact_path_status,notes
Tier 1,Agent platforms / agent builders,Browserbase,https://www.browserbase.com,Browser agent infrastructure,10,9,8,9,8,"Browser agent checkout, travel booking, merchant flow completion, approval gates.","CEO, CTO, head of product for browser agents.","Browser automation is moving from scraping to completing full workflows, including payment moments.",2,Anirudh Kamath,Stagehand Tech Lead,evaluator,high,https://www.browserbase.com/blog/introducing-the-stagehand-api,Official Stagehand API post.,"Closest technical owner for action execution patterns that reach forms, checkouts, and transaction steps.",Sardis becomes the controlled payment step while Browserbase owns browser interaction.,,not_publicly_confirmed,Best technical-thread contact.
Tier 1,Agent platforms / agent builders,Browserbase,https://www.browserbase.com,Browser agent infrastructure,10,9,8,9,8,"Browser agent checkout, travel booking, merchant flow completion, approval gates.","CEO, CTO, head of product for browser agents.","Browser automation is moving from scraping to completing full workflows, including payment moments.",3,Derek Meegan,Customer Engineer,champion,high,https://www.browserbase.com/blog/what-does-browserbase-actually-do,Official Browserbase post co-authored by Derek Meegan.,"Likely sees customer pain around brittle workflows, approvals, and sensitive steps in production.",Focus on the last mile where customer automations break because money-related actions cannot be trusted.,support@browserbase.com,public_routing_only,Official support alias surfaced on Browserbase blog.
Tier 1,Agent platforms / agent builders,Browserbase,https://www.browserbase.com,Browser agent infrastructure,10,9,8,9,8,"Browser agent checkout, travel booking, merchant flow completion, approval gates.","CEO, CTO, head of product for browser agents.","Browser automation is moving from scraping to completing full workflows, including payment moments.",4,Adam McQuilkin,"Project Lead, Core Engineer",champion,high,https://www.browserbase.com/blog/browserbase-functions,Official Browserbase Functions launch post.,Relevant builder for how agents run production workloads directly on Browserbase.,Payment control can be one more production primitive rather than an external afterthought.,,not_publicly_confirmed,Core-engineering route.
Tier 1,Agent platforms / agent builders,Browserbase,https://www.browserbase.com,Browser agent infrastructure,10,9,8,9,8,"Browser agent checkout, travel booking, merchant flow completion, approval gates.","CEO, CTO, head of product for browser agents.","Browser automation is moving from scraping to completing full workflows, including payment moments.",5,Harsehaj Dhami,Growth Engineer,champion,high,https://www.browserbase.com/blog/director-product-hunt,Official Browserbase Director Product Hunt post.,Useful contact if the value proposition lands on practical adoption and user demand rather than architecture alone.,Use his market-facing lens to validate whether sensitive-step approvals are a blocker for Browserbase users.,,not_publicly_confirmed,Growth-side route.
Tier 1,Agent platforms / agent builders,Browserbase,https://www.browserbase.com,Browser agent infrastructure,10,9,8,9,8,"Browser agent checkout, travel booking, merchant flow completion, approval gates.","CEO, CTO, head of product for browser agents.","Browser automation is moving from scraping to completing full workflows, including payment moments.",6,Beatriz Go,Chief of Staff,influencer,medium,https://theorg.com/org/browserbase/org-chart/beatriz-go,The Org Browserbase profile.,Helpful executive-office path when founder and engineering threads need coordination.,Frame Sardis as a design-partner topic tied to Browserbase’s move into broader workflow automation.,,not_publicly_confirmed,Executive-office route.
Tier 1,Agent platforms / agent builders,Relevance AI,https://relevanceai.com,AI workforce platform,9,8,8,8,8,"AI workforce task execution, agent tool calls, internal operations automations.","CEO, Head of Product, Head of Platform, enterprise solutions lead.",The AI workforce narrative raises the stakes on governed external actions and budgeted task execution.,1,Daniel Vassilev,Founder,buyer,high,https://relevanceai.com/blog/the-ai-workforce-revolution-24m-series-b-to-accelerate-our-mission,Official Series B post by Daniel Vassilev.,"Founder-level contact at a company explicitly building an AI workforce, where governed spend becomes relevant as agents move from internal work into external action.",Let AI workforce deployments expand into paid actions without making each customer invent their own control stack.,,not_publicly_confirmed,Best founder route.
Tier 1,Agent platforms / agent builders,Relevance AI,https://relevanceai.com,AI workforce platform,9,8,8,8,8,"AI workforce task execution, agent tool calls, internal operations automations.","CEO, Head of Product, Head of Platform, enterprise solutions lead.",The AI workforce narrative raises the stakes on governed external actions and budgeted task execution.,2,Jacky Koh,Founder,buyer,high,https://relevanceai.com/blog,Official blog index showing Jacky Koh as founder and author of product/control topics.,"Strong founder path for discussions around control, visibility, and scaling multi-agent systems.","Tie Sardis to the moment when AI workers need policy-bound authority, not just task execution.",,not_publicly_confirmed,Good alternative founder thread.
Tier 1,Agent platforms / agent builders,Relevance AI,https://relevanceai.com,AI workforce platform,9,8,8,8,8,"AI workforce task execution, agent tool calls, internal operations automations.","CEO, Head of Product, Head of Platform, enterprise solutions lead.",The AI workforce narrative raises the stakes on governed external actions and budgeted task execution.,3,Daniel Palmer,"Co-founder, leading Product",buyer,medium,https://theorg.com/org/relevance-ai,The Org Relevance AI company page.,Best product-side owner for where Sardis might fit in the AI workforce roadmap.,Turn spend-enabled agent work into a productized capability instead of customer-specific engineering.,,not_publicly_confirmed,Best product route.
Tier 1,Agent platforms / agent builders,Relevance AI,https://relevanceai.com,AI workforce platform,9,8,8,8,8,"AI workforce task execution, agent tool calls, internal operations automations.","CEO, Head of Product, Head of Platform, enterprise solutions lead.",The AI workforce narrative raises the stakes on governed external actions and budgeted task execution.,4,Chingis D.,Head of Infrastructure,evaluator,medium,https://theorg.com/org/relevance-ai,The Org Relevance AI company page.,Infrastructure owner for deciding whether delegated-spend controls should be externalized.,"Keep the infrastructure argument tight: security, policy, and audit for high-stakes actions.",,not_publicly_confirmed,Technical diligence route.
Tier 1,Agent platforms / agent builders,Relevance AI,https://relevanceai.com,AI workforce platform,9,8,8,8,8,"AI workforce task execution, agent tool calls, internal operations automations.","CEO, Head of Product, Head of Platform, enterprise solutions lead.",The AI workforce narrative raises the stakes on governed external actions and budgeted task execution.,5,Scott Henderson,Head of Growth and Marketing,influencer,high,https://relevanceai.com/blog,Official Relevance AI blog author index.,Strong GTM signal holder for what the market is actually pulling on around agents and workflows.,Validate whether trust and actionability are the missing ingredient in larger enterprise deals.,,not_publicly_confirmed,Commercial lens.
Tier 1,Agent platforms / agent builders,Relevance AI,https://relevanceai.com,AI workforce platform,9,8,8,8,8,"AI workforce task execution, agent tool calls, internal operations automations.","CEO, Head of Product, Head of Platform, enterprise solutions lead.",The AI workforce narrative raises the stakes on governed external actions and budgeted task execution.,6,Aman Arora,Lead AI Engineer,champion,high,https://relevanceai.com/blog,Official Relevance AI blog author index.,Useful technical champion for productizing production-grade agents and evaluation workflows.,Introduce Sardis as an execution boundary for risky actions that still need deterministic controls.,,not_publicly_confirmed,Applied-technical champion.
